No	soil_pH	Om%	CEC	acidity fraction
1	6.3	5.09	18.9	8
2	5.2	10	17.2	25
3	5.3	10	19.2	22
4	5.3	9.59	19.2	20
5	5.3	9.59	20.4	22
6	5.3	10	20.5	21
7	5.1	5.69	10.2	33
8	5.8	4.95	13.3	17
9	5.3	10	17.9	24
10	5.3	10	20.5	22
11	5.1	9.59	15.4	28
12	5.2	8.24	14.9	27
13	5.3	9.59	20	21
14	5.3	9.59	18	23
15	5.4	9.59	20.5	19
16	5.4	10	23.5	18
17	5.4	10	22.3	19
18	5.4	10	22.5	19
19	5.3	10	22.2	20
20	5.4	10	24.1	18
21	5.3	8.86	16.5	24
22	5.3	9.21	18.2	21
23	4.9	9.21	14.3	32
24	5	7.45	11.5	35
25	5.3	8.54	18.2	22
26	5.1	10	18.2	25
27	5.1	10	17.4	27
28	4.9	7.45	13	35
29	5.3	10	21.7	20
30	5.5	10	22	18
31	5.2	10	21	21
32	5	10	15.8	30
33	4.9	10	13.7	35
34	5.2	10	18.8	24
35	5.1	10	17.8	25
36	5.5	10	21.5	18
37	5.1	9.59	17.7	26
38	5.4	10	21.3	20
39	5.3	10	23.6	18
40	5.2	9.21	18.9	22
41	5	9.59	16.5	27
42	5.1	10	15.5	29
43	5.2	10	16	27
44	5.2	9.59	17.7	23
45	5.1	10	16.6	27
46	5.2	10	19.4	23
47	5.3	10	21.6	20
48	5.3	10	20.7	21
49	5.3	10	19.8	21
50	5.3	10	21.4	21
51	5.3	10	21.5	21
52	5.4	10	21	20
53	5.7	9.59	21.3	17
54	5.3	10	20.3	21
55	5.3	10	23.4	19
56	5.4	10	21.6	20
57	5.2	10	21.3	21
